# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jun 29 19:16:28 2021
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbperstr not null
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_orbeccenstr not null
# CONSTRAINT:  and pl_orbinclstr not null
# CONSTRAINT:  and pl_orblperstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN soltype:        Solution Type
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_orblper:     Argument of Periastron [deg]
# COLUMN pl_orblpererr1: Argument of Periastron Upper Unc. [deg]
# COLUMN pl_orblpererr2: Argument of Periastron Lower Unc. [deg]
# COLUMN pl_orblperlim:  Argument of Periastron Limit Flag
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
55 Cnc e,55 Cnc,1,2,5,Radial Velocity,2004,Published Confirmed,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,0.050000,0.030000,-0.030000,0,83.590,0.470,-0.440,0,86.0000,30.7000,-33.4000,0,5.7297300,0.0008523,-0.0008523
7 CMa b,7 CMa,1,1,2,Radial Velocity,2011,Published Confirmed,735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,0.060000,0.030000,-0.030000,0,90.000,,,0,165.3000,5.1000,-70.8000,0,3.6785300,0.0041348,-0.0041348
7 CMa c,7 CMa,1,1,2,Radial Velocity,2019,Published Confirmed,996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,0.080000,0.050000,-0.040000,0,90.000,,,0,233.5000,7.7000,-40.2000,0,3.6785300,0.0041348,-0.0041348
BD+45 564 b,BD+45 564,1,1,1,Radial Velocity,2021,Published Confirmed,307.88000000,1.47000000,-1.47000000,0,0.830000,0.040000,-0.040000,0,0.120000,0.060000,-0.060000,0,2.579,,,-1,70.3100,51.8500,-51.8500,0,9.4126600,0.0002550,-0.0002550
BD+55 362 b,BD+55 362,1,1,1,Radial Velocity,2021,Published Confirmed,265.59000000,1.04000000,-1.04000000,0,0.780000,0.050000,-0.050000,0,0.270000,0.060000,-0.060000,0,0.601,,,-1,-134.4400,62.4300,-62.4300,0,9.1530500,0.0001630,-0.0001630
BD+63 1405 b,BD+63 1405,1,1,1,Radial Velocity,2021,Published Confirmed,1198.48000000,60.79000000,-60.79000000,0,2.060000,0.140000,-0.140000,0,0.880000,0.020000,-0.020000,0,5.974,,,-1,94.2500,3.7600,-3.7600,0,8.7050000,0.0002570,-0.0002570
BD-00 4475 b,BD-00 4475,1,1,1,Radial Velocity,2021,Published Confirmed,723.20000000,0.74000000,-0.74000000,0,1.480000,0.110000,-0.110000,0,0.390000,0.010000,-0.010000,0,13.310,,,-1,-97.5500,2.4600,-2.4600,0,8.7810100,0.0002530,-0.0002530
CoRoT-10 b,CoRoT-10,1,1,1,Transit,2010,Published Confirmed,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,0.530000,0.040000,-0.040000,0,88.550,0.200,-0.200,0,218.9000,6.4000,-6.4000,0,14.6645000,0.0003290,-0.0003290
CoRoT-12 b,CoRoT-12,1,1,1,Transit,2010,Published Confirmed,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,0.070000,0.063000,-0.042000,0,85.480,0.720,-0.770,0,105.0000,90.0000,-27.0000,0,15.3453000,0.0007700,-0.0007700
CoRoT-16 b,CoRoT-16,1,1,1,Transit,2011,Published Confirmed,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,0.330000,0.090000,-0.100000,0,85.010,0.940,-1.200,0,168.4100,22.8300,-20.9300,0,15.6507000,0.0009980,-0.0009980
CoRoT-17 b,CoRoT-17,1,1,1,Transit,2011,Published Confirmed,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,0.000000,,,0,88.340,1.540,-1.540,0,0.0000,,,0,15.4368000,0.0005240,-0.0005240
CoRoT-2 b,CoRoT-2,1,2,1,Transit,2008,Published Confirmed,1.74299350,0.00000100,-0.00000100,0,0.027980,0.000760,-0.000800,0,0.014300,0.007700,-0.007600,0,88.080,0.180,-0.160,0,102.0000,17.0000,-5.0000,0,12.2489000,0.0009110,-0.0009110
CoRoT-20 b,CoRoT-20,1,1,2,Transit,2011,Published Confirmed,9.24285000,0.00030000,-0.00030000,0,0.090000,0.002000,-0.002000,0,0.590000,0.020000,-0.020000,0,88.210,0.530,-0.530,0,60.1000,2.5000,-2.3000,0,14.4686000,0.0004120,-0.0004120
CoRoT-22 b,CoRoT-22,1,1,1,Transit,2014,Published Confirmed,9.75598000,0.00011000,-0.00011000,0,0.092000,0.001400,-0.001400,0,0.077000,0.300000,-0.042000,0,89.749,0.032,-0.900,0,210.0000,70.0000,-30.0000,0,13.7305000,0.0003040,-0.0003040
CoRoT-23 b,CoRoT-23,1,1,1,Transit,2011,Published Confirmed,3.63130000,0.00010000,-0.00010000,0,0.048000,0.004000,-0.004000,0,0.160000,0.020000,-0.020000,0,85.700,2.600,-1.500,0,52.0000,9.0000,-9.0000,0,15.0681000,0.0004090,-0.0004090
CoRoT-28 b,CoRoT-28,1,1,1,Transit,2015,Published Confirmed,5.20851000,0.00038000,-0.00038000,0,0.060300,0.005000,-0.005000,0,0.047000,0.055000,-0.038000,0,88.100,0.800,-0.800,0,126.0000,140.0000,-61.0000,0,13.4119000,0.0003930,-0.0003930
CoRoT-29 b,CoRoT-29,1,1,1,Transit,2015,Published Confirmed,2.85057000,0.00000600,-0.00000600,0,0.038600,0.005900,-0.005900,0,0.082000,0.081000,-0.081000,0,87.300,2.700,-2.700,0,87.0000,210.0000,-49.0000,0,15.2394000,0.0005320,-0.0005320
CoRoT-30 b,CoRoT-30,1,1,1,Transit,2020,Published Confirmed,9.06005000,0.00024000,-0.00024000,0,0.084400,0.001200,-0.001200,0,0.007000,0.031000,-0.031000,0,90.000,0.560,-0.560,0,178.1000,100.2000,-100.2000,0,15.4130000,0.0006660,-0.0006660
CoRoT-31 b,CoRoT-31,1,1,1,Transit,2020,Published Confirmed,4.62941000,0.00075000,-0.00075000,0,0.058600,0.003400,-0.003400,0,0.020000,0.160000,-0.160000,0,83.200,2.300,-2.300,0,303.6000,107.9000,-107.9000,0,15.4655000,0.0008090,-0.0008090
CoRoT-5 b,CoRoT-5,1,1,1,Transit,2009,Published Confirmed,4.03789620,0.00000190,-0.00000190,0,0.049470,0.000260,-0.000290,0,0.090000,0.090000,-0.040000,0,85.830,0.990,-1.380,0,-128.3400,289.3400,-48.1300,0,13.9021000,0.0004180,-0.0004180
CoRoT-7 c,CoRoT-7,1,1,2,Radial Velocity,2009,Published Confirmed,3.69800000,0.00300000,-0.00300000,0,0.046000,,,0,0.000000,,,0,80.000,,,0,180.0000,,,0,11.5239000,0.0004620,-0.0004620
CoRoT-9 b,CoRoT-9,1,2,1,Transit,2009,Published Confirmed,95.27265600,0.00006800,-0.00006800,0,0.402100,0.005400,-0.005400,0,0.133000,0.042000,-0.037000,0,89.900,0.066,-0.084,0,41.0000,31.0000,-24.0000,0,13.5008000,0.0003200,-0.0003200
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,1,Astrometry,2013,Published Confirmed,246.36000000,1.38000000,-1.35000000,0,0.360000,0.010000,-0.010000,0,0.345000,0.068000,-0.064000,0,56.600,1.900,-2.100,0,36.3000,7.2000,-8.4000,0,18.5577000,0.0029090,-0.0029090
EPIC 211822797 b,EPIC 211822797,1,1,1,Transit,2016,Published Confirmed,21.16986100,0.00172500,-0.00169500,0,0.131000,0.004000,-0.005000,0,0.060000,0.135970,-0.048705,0,89.730,0.190,-0.220,0,-21.5100,137.3198,-119.8417,0,14.5263000,0.0003230,-0.0003230
EPIC 249893012 b,EPIC 249893012,1,1,3,Transit,2020,Published Confirmed,3.59510000,0.00030000,-0.00030000,0,0.047000,0.005000,-0.007000,0,0.060000,0.080000,-0.040000,0,86.140,2.600,-3.500,0,225.0000,67.0000,-123.0000,0,11.4019000,0.0004950,-0.0004950
EPIC 249893012 c,EPIC 249893012,1,1,3,Transit,2020,Published Confirmed,15.62400000,0.00100000,-0.00100000,0,0.130000,0.010000,-0.020000,0,0.070000,0.080000,-0.050000,0,87.940,0.740,-1.050,0,217.0000,100.0000,-170.0000,0,11.4019000,0.0004950,-0.0004950
EPIC 249893012 d,EPIC 249893012,1,1,3,Transit,2020,Published Confirmed,35.74700000,0.00500000,-0.00500000,0,0.220000,0.020000,-0.040000,0,0.150000,0.210000,-0.110000,0,89.470,0.360,-0.500,0,181.0000,81.0000,-61.0000,0,11.4019000,0.0004950,-0.0004950
G 9-40 b,G 9-40,1,1,1,Transit,2019,Published Confirmed,5.74600700,0.00000600,-0.00000600,0,0.038500,0.007800,-0.005300,0,0.000000,,,0,88.570,0.630,-0.470,0,0.0000,,,0,12.7331000,0.0004400,-0.0004400
GJ 143 b,GJ 143,1,1,2,Transit,2019,Published Confirmed,35.61253000,0.00060000,-0.00062000,0,0.191500,0.005800,-0.006300,0,0.188000,0.076000,-0.078000,0,89.330,0.150,-0.110,0,98.0000,21.0000,-17.0000,0,7.6790600,0.0002600,-0.0002600
GJ 3634 b,GJ 3634,1,1,1,Radial Velocity,2010,Published Confirmed,2.64561000,0.00066000,-0.00066000,0,0.028700,0.001000,-0.001100,0,0.080000,0.094000,-0.057000,0,59.000,18.000,-24.000,0,84.0000,52.0000,-130.0000,0,10.9233000,0.0008900,-0.0008900
GJ 436 b,GJ 436,1,1,1,Radial Velocity,2004,Published Confirmed,2.64388312,0.00000057,-0.00000057,0,0.029100,0.001500,-0.001500,0,0.138270,0.000180,-0.000180,0,86.440,0.170,-0.160,0,351.0000,0.0300,-0.0300,0,9.5714800,0.0009340,-0.0009340
GJ 876 b,GJ 876,1,1,4,Radial Velocity,1998,Published Confirmed,61.11660000,0.00860000,-0.00860000,0,0.208317,0.000020,-0.000020,0,0.032400,0.001300,-0.001300,0,59.000,,,0,50.3000,3.2000,-3.2000,0,8.8753000,0.0014500,-0.0014500
GJ 876 c,GJ 876,1,1,4,Radial Velocity,2000,Published Confirmed,30.08810000,0.00820000,-0.00820000,0,0.129590,0.000024,-0.000024,0,0.255910,0.000930,-0.000930,0,59.000,,,0,48.7600,0.7000,-0.7000,0,8.8753000,0.0014500,-0.0014500
GJ 876 d,GJ 876,1,1,4,Radial Velocity,2005,Published Confirmed,1.93778000,0.00002000,-0.00002000,0,0.020807,0.000000,0.000000,0,0.207000,0.055000,-0.055000,0,59.000,,,0,234.0000,20.0000,-20.0000,0,8.8753000,0.0014500,-0.0014500
GJ 876 e,GJ 876,1,1,4,Radial Velocity,2010,Published Confirmed,124.26000000,0.70000000,-0.70000000,0,0.334300,0.001300,-0.001300,0,0.055000,0.012000,-0.012000,0,59.000,,,0,239.0000,22.0000,-22.0000,0,8.8753000,0.0014500,-0.0014500
HAT-P-16 b,HAT-P-16,1,3,1,Transit,2010,Published Confirmed,2.77596000,0.00000300,-0.00000300,0,0.041300,0.000400,-0.000400,0,0.036000,0.004000,-0.004000,0,86.600,0.700,-0.700,0,214.0000,8.0000,-8.0000,0,10.7568000,0.0002560,-0.0002560
HAT-P-18 b,HAT-P-18,1,1,1,Transit,2010,Published Confirmed,5.50802300,0.00000600,-0.00000600,0,0.055900,0.000700,-0.000700,0,0.084000,0.048000,-0.048000,0,88.800,0.300,-0.300,0,120.0000,56.0000,-56.0000,0,12.3682000,0.0002830,-0.0002830
HAT-P-19 b,HAT-P-19,1,1,1,Transit,2010,Published Confirmed,4.00877800,0.00000600,-0.00000600,0,0.046600,0.000800,-0.000800,0,0.067000,0.042000,-0.042000,0,88.200,0.400,-0.400,0,256.0000,77.0000,-77.0000,0,12.5567000,0.0002380,-0.0002380
HAT-P-20 b,HAT-P-20,1,1,1,Transit,2010,Published Confirmed,2.87531700,0.00000400,-0.00000400,0,0.036100,0.000500,-0.000500,0,0.015000,0.005000,-0.005000,0,86.800,0.200,-0.200,0,317.0000,130.0000,-130.0000,0,10.9903000,0.0011760,-0.0011760
HAT-P-25 b,HAT-P-25,1,1,1,Transit,2010,Published Confirmed,3.65281514,0.00000076,-0.00000075,0,0.046600,0.000810,-0.000800,0,0.023000,0.022000,-0.014000,0,88.220,0.450,-0.360,0,287.0000,52.0000,-17.0000,0,12.8416000,0.0002440,-0.0002440
HAT-P-27 b,HAT-P-27,1,2,1,Transit,2011,Published Confirmed,3.03957700,0.00000500,-0.00000600,0,0.040000,0.000800,-0.000800,0,0.000000,,,0,85.000,0.200,-0.200,0,0.0000,,,0,11.9562000,0.0003190,-0.0003190
HAT-P-28 b,HAT-P-28,1,1,1,Transit,2011,Published Confirmed,3.25721500,0.00000700,-0.00000700,0,0.043400,0.000700,-0.000700,0,0.051000,0.033000,-0.033000,0,88.000,0.900,-0.900,0,233.0000,90.0000,-90.0000,0,12.8718000,0.0002330,-0.0002330
HAT-P-32 b,HAT-P-32,1,2,1,Transit,2011,Published Confirmed,2.15000820,0.00000013,-0.00000013,0,0.033970,0.000510,-0.000500,0,0.159000,0.051000,-0.028000,0,88.980,0.680,-0.850,0,50.0000,27.0000,-18.0000,0,11.1335000,0.0004790,-0.0004790
HAT-P-34 b,HAT-P-34,1,1,1,Transit,2011,Published Confirmed,5.45265400,0.00001600,-0.00001600,0,0.067740,0.000740,-0.000760,0,0.432000,0.029000,-0.027000,0,87.100,1.200,-1.200,0,21.9000,5.2000,-5.6000,0,10.1944000,0.0002630,-0.0002630
HAT-P-37 b,HAT-P-37,1,1,1,Transit,2011,Published Confirmed,2.79743600,0.00000700,-0.00000700,0,0.037900,0.000600,-0.000600,0,0.058000,0.038000,-0.038000,0,86.900,0.400,-0.500,0,164.0000,84.0000,-84.0000,0,13.2615000,0.0008480,-0.0008480
HAT-P-38 b,HAT-P-38,1,1,1,Transit,2012,Published Confirmed,4.64038200,0.00003200,-0.00003200,0,0.052300,0.000900,-0.000900,0,0.067000,0.047000,-0.047000,0,88.300,0.700,-0.700,0,240.0000,104.0000,-104.0000,0,12.3021000,0.0002570,-0.0002570
HAT-P-44 b,HAT-P-44,1,1,2,Transit,2014,Published Confirmed,4.30121900,0.00001900,-0.00001900,0,0.050700,0.000700,-0.000700,0,0.044000,0.052000,-0.052000,0,89.100,0.400,-0.400,0,113.0000,90.0000,-90.0000,0,12.9729000,0.0003110,-0.0003110
HAT-P-45 b,HAT-P-45,1,1,1,Transit,2014,Published Confirmed,3.12899200,0.00002100,-0.00002100,0,0.045200,0.000700,-0.000700,0,0.049000,0.063000,-0.063000,0,87.800,0.900,-0.900,0,146.0000,98.0000,-98.0000,0,12.3977000,0.0001910,-0.0001910
HAT-P-46 b,HAT-P-46,1,1,1,Transit,2014,Published Confirmed,4.46312900,0.00004800,-0.00004800,0,0.057700,0.001400,-0.000900,0,0.123000,0.120000,-0.120000,0,85.500,0.800,-2.300,0,70.0000,87.0000,-87.0000,0,11.6843000,0.0003890,-0.0003890
HAT-P-9 b,HAT-P-9,1,1,1,Transit,2008,Published Confirmed,3.92281072,0.00000102,-0.00000102,0,0.052870,0.000780,-0.000780,0,0.084000,0.052000,-0.047000,0,86.440,0.370,-0.360,0,152.0000,42.0000,-39.0000,0,12.1536000,0.0002270,-0.0002270
HATS-2 b,HATS-2,1,1,1,Transit,2013,Published Confirmed,1.35413300,0.00000100,-0.00000100,0,0.023000,0.000300,-0.000300,0,0.000000,,,0,87.200,0.700,-0.700,0,0.0000,,,0,13.3419000,0.0007790,-0.0007790
HATS-22 b,HATS-22,1,1,1,Transit,2017,Published Confirmed,4.72281240,0.00000520,-0.00000520,0,0.050250,0.000420,-0.000420,0,0.079000,0.026000,-0.026000,0,87.960,0.210,-0.210,0,56.0000,73.0000,-73.0000,0,13.1225000,0.0004400,-0.0004400
HATS-24 b,HATS-24,1,1,1,Transit,2017,Published Confirmed,1.34849780,0.00000090,-0.00000090,0,0.023800,0.001000,-0.001000,0,0.000000,,,0,85.970,0.230,-0.280,0,90.0000,,,0,12.6911000,0.0002920,-0.0002920
HATS-4 b,HATS-4,1,1,1,Transit,2014,Published Confirmed,2.51672900,0.00000200,-0.00000200,0,0.036200,0.000200,-0.000200,0,0.013000,0.016000,-0.016000,0,88.500,0.600,-0.600,0,275.0000,98.0000,-98.0000,0,13.2862000,0.0001720,-0.0001720
HATS-41 b,HATS-41,1,1,1,Transit,2018,Published Confirmed,4.19364900,0.00001300,-0.00001300,0,0.058300,0.001500,-0.001000,0,0.380000,0.110000,-0.110000,0,80.400,2.300,-4.200,0,136.0000,18.0000,-18.0000,0,12.5892000,0.0001770,-0.0001770
HATS-43 b,HATS-43,1,1,1,Transit,2018,Published Confirmed,4.38884970,0.00000590,-0.00000590,0,0.049440,0.000460,-0.000460,0,0.173000,0.089000,-0.089000,0,89.240,0.290,-0.410,0,330.0000,120.0000,-120.0000,0,13.4014000,0.0006430,-0.0006430
HATS-5 b,HATS-5,1,1,1,Transit,2014,Published Confirmed,4.76338700,0.00001000,-0.00001000,0,0.054200,0.000600,-0.000600,0,0.019000,0.019000,-0.019000,0,89.300,0.300,-0.300,0,204.0000,107.0000,-107.0000,0,12.4288000,0.0001480,-0.0001480
HATS-59 b,HATS-59,1,1,2,Transit,2018,Published Confirmed,5.41608100,0.00001600,-0.00001600,0,0.061120,0.000760,-0.000760,0,0.129000,0.049000,-0.049000,0,88.100,0.330,-0.330,0,227.0000,29.0000,-29.0000,0,13.7854000,0.0002200,-0.0002200
HD 106315 b,HD 106315,1,1,2,Transit,2017,Published Confirmed,9.55237000,0.00089000,-0.00089000,0,0.090700,0.001000,-0.001000,0,0.093000,0.110000,-0.068000,0,87.540,0.320,-0.320,0,239.0000,74.0000,-200.0000,0,8.8884100,0.0002510,-0.0002510
HD 106315 c,HD 106315,1,1,2,Transit,2017,Published Confirmed,21.05704000,0.00046000,-0.00046000,0,0.153600,0.001700,-0.001700,0,0.220000,0.150000,-0.150000,0,88.610,0.700,-0.250,0,96.0000,88.0000,-35.0000,0,8.8884100,0.0002510,-0.0002510
HD 108236 b,HD 108236,1,1,5,Transit,2020,Published Confirmed,3.79596300,0.00002500,-0.00003400,0,0.045270,0.000960,-0.000880,0,0.045000,0.039000,-0.033000,0,87.590,0.470,-0.350,0,126.0000,51.0000,-62.0000,0,9.0874500,0.0001570,-0.0001570
HD 108236 c,HD 108236,1,1,5,Transit,2020,Published Confirmed,6.20344900,0.00004900,-0.00004600,0,0.062000,0.001200,-0.001200,0,0.034000,0.042000,-0.025000,0,88.300,0.290,-0.230,0,211.0000,44.0000,-110.0000,0,9.0874500,0.0001570,-0.0001570
